#{"t_start": 1713057598.5422294, "env_id": "None"}
r,l,t
-160.0,5214,22.572088
183.0,3038,35.260497
220.0,3041,45.916427
74.0,4225,61.241465
46.0,5330,80.546612
313.0,1904,87.817516
102.0,4251,103.875519
116.0,3492,118.271842
178.0,3662,132.019656
97.0,3317,144.412544
229.0,2232,153.210689
157.0,3342,165.306
160.0,3712,179.022274
165.0,5349,199.007892
196.0,3495,210.991864
168.0,3201,221.999019
302.0,2594,231.802794
165.0,2518,242.378384
201.0,4035,258.023411
123.0,3073,269.574366
120.0,6013,291.595664
276.0,3453,305.111381
269.0,2387,313.398973
133.0,5488,333.879057
-9.0,6341,356.220094
135.0,3098,367.19872
126.0,6382,389.510618
1.0,7921,416.021095
101.0,5586,436.216784
203.0,2385,444.675302
70.0,5249,463.186414
154.0,4371,478.830372
171.0,3020,489.655826
309.0,2102,497.865477
199.0,3864,513.12709
136.0,3354,525.548563
-101.0,6771,547.831295
223.0,6438,570.535673
191.0,3967,585.464273
151.0,7181,609.841839
