#{"t_start": 1713057597.0722737, "env_id": "None"}
r,l,t
263.0,2815,16.11411
246.0,5810,38.003194
146.0,2973,48.408076
115.0,5619,69.300337
145.0,3568,81.780329
265.0,2037,89.612148
201.0,3024,100.82482
256.0,5473,123.018209
214.0,2778,133.286551
262.0,2175,141.181401
188.0,4125,157.147398
176.0,7048,183.330198
111.0,4493,199.858455
125.0,6825,223.27225
267.0,2479,232.639663
297.0,2082,241.314988
246.0,3100,253.293207
161.0,2961,264.804675
160.0,6825,290.031234
252.0,2562,299.904501
222.0,3152,311.815814
51.0,6876,336.955198
79.0,7769,364.565281
58.0,7510,390.535094
213.0,3068,401.102036
-118.0,4886,417.21293
-87.0,7638,444.734455
163.0,3203,455.631254
-94.0,6174,477.941055
201.0,4278,493.611294
53.0,6719,519.322096
175.0,3365,531.675546
-85.0,6825,553.911764
-17.0,5693,574.766127
132.0,4326,591.288139
116.0,5101,607.808769
