#{"t_start": 1713057598.3207488, "env_id": "None"}
r,l,t
176.0,4392,19.976089
258.0,2927,30.871013
174.0,3744,45.405139
161.0,6053,67.588653
308.0,2602,77.123819
148.0,3064,88.164937
107.0,3817,102.480616
140.0,3546,116.918012
326.0,2035,125.077071
182.0,3505,137.819269
215.0,2973,149.658219
216.0,2765,159.31228
210.0,2745,169.807673
295.0,2143,177.843119
142.0,3377,190.299463
148.0,7233,215.569281
250.0,2858,225.706513
185.0,2965,237.621313
124.0,5802,260.279033
201.0,2762,270.882874
-80.0,5963,292.684369
327.0,2450,302.544704
168.0,3197,313.864656
247.0,3305,325.818502
45.0,6506,348.97911
196.0,7077,374.982031
5.0,5756,394.846915
-236.0,7347,419.128267
23.0,6060,441.309066
84.0,4087,455.139311
107.0,3039,465.99354
-136.0,3692,479.377253
201.0,3080,490.462605
121.0,5636,512.616129
186.0,2978,523.95804
246.0,2393,531.914218
-103.0,6043,551.532234
244.0,3432,563.618925
94.0,3386,576.63414
-87.0,4956,594.534509
204.0,4685,609.960921
