#{"t_start": 1713057597.493911, "env_id": "None"}
r,l,t
245.0,3771,18.62576
222.0,4563,36.572085
260.0,2347,44.984455
206.0,2442,52.953822
234.0,3102,64.82478
135.0,6696,89.583809
313.0,2217,97.987383
93.0,6556,124.202066
319.0,2325,132.591312
220.0,2853,143.05836
155.0,3420,156.28815
-73.0,7100,182.550473
181.0,4447,199.039395
119.0,3724,211.812025
0.0,6566,235.82924
295.0,2213,245.123183
148.0,3210,257.767695
135.0,4130,273.171466
-101.0,3791,286.650406
241.0,3545,300.479074
189.0,2511,309.806804
-10.0,8704,341.134414
188.0,4597,357.692705
224.0,3409,369.809913
130.0,7232,395.296283
-96.0,6936,418.101481
156.0,4831,435.626686
111.0,5061,453.283431
91.0,5473,473.259591
158.0,3369,485.06226
158.0,3052,496.329786
-91.0,5961,519.371785
288.0,2498,528.550036
-25.0,7626,553.680444
197.0,4843,570.942111
157.0,4511,588.387143
100.0,5740,607.460322
