#{"t_start": 1713057596.580361, "env_id": "None"}
r,l,t
60.0,7101,31.434836
109.0,6863,57.232367
167.0,3542,70.948916
281.0,3109,81.695703
272.0,2441,91.094364
-25.0,4634,108.564214
260.0,2812,120.302789
253.0,2864,131.302943
218.0,3219,142.881757
187.0,2749,153.798289
208.0,2792,163.823663
221.0,3114,176.020668
230.0,3048,186.704484
151.0,7917,215.008783
230.0,3372,226.724053
327.0,2199,235.215348
287.0,2099,244.11444
133.0,3309,257.212516
264.0,2305,265.761732
269.0,2106,273.705631
114.0,5487,293.71322
173.0,4085,309.299756
104.0,4034,324.010899
35.0,7797,351.79574
138.0,6203,374.568656
192.0,8306,402.955733
-96.0,5552,421.385547
276.0,3234,432.931725
246.0,2680,442.995454
139.0,3064,453.375539
96.0,4271,468.558425
250.0,5287,487.876831
268.0,2517,496.997114
130.0,4361,514.173832
169.0,3815,528.292343
-140.0,4003,541.668159
-88.0,4872,557.702681
191.0,3761,571.036316
189.0,3489,584.56383
-87.0,6743,607.543068
