#{"t_start": 1713057598.8078227, "env_id": "None"}
r,l,t
-14.0,8476,35.713468
120.0,3118,46.609478
189.0,3490,59.081311
68.0,6167,81.551562
223.0,2847,93.117565
139.0,4996,112.182294
19.0,5410,132.852919
211.0,2384,141.803174
244.0,5424,162.204656
265.0,2688,172.811183
324.0,2452,181.531041
242.0,7178,207.328159
156.0,7141,232.88976
255.0,2925,245.249896
68.0,3299,257.878007
175.0,3680,271.75807
-196.0,4210,286.858975
277.0,3082,298.871526
230.0,2686,308.932821
-50.0,8314,338.865384
171.0,3990,353.200787
120.0,3502,365.731795
75.0,6910,389.859588
20.0,8026,416.692852
78.0,6193,439.39694
66.0,5228,457.258103
-130.0,4465,473.776017
204.0,3324,485.647085
177.0,3218,497.477082
156.0,4202,513.936742
194.0,2642,524.043651
-164.0,3990,537.269202
-8.0,9185,568.420587
196.0,5401,589.449278
