#{"t_start": 1713057596.6876016, "env_id": "None"}
r,l,t
174.0,7671,34.536737
268.0,4893,51.850249
206.0,3896,66.415475
168.0,3279,78.849073
140.0,3932,93.341531
204.0,2278,101.640164
252.0,2442,111.390336
10.0,6300,135.678652
214.0,2376,144.673223
289.0,2268,153.635083
-153.0,3455,166.225811
147.0,4038,181.107712
-4.0,7100,207.224308
89.0,4440,221.999398
218.0,2598,231.792317
246.0,2788,243.430316
259.0,3126,255.583565
271.0,2345,264.514122
-121.0,5178,283.934824
198.0,2752,293.814588
210.0,2929,305.485557
241.0,3029,316.15077
-44.0,8789,347.674494
129.0,6285,370.37023
327.0,2629,379.808558
-204.0,4296,394.847785
-237.0,8226,422.30431
194.0,4084,437.119748
201.0,3001,447.805787
226.0,3522,459.902179
262.0,2331,468.283679
-33.0,7331,495.073953
160.0,5393,515.96211
232.0,4806,533.270418
-161.0,4350,547.452987
170.0,4427,562.420135
258.0,2678,572.393255
56.0,7395,599.51278
