#{"t_start": 1713057598.8932738, "env_id": "None"}
r,l,t
93.0,4899,21.202798
57.0,4376,38.22136
210.0,2629,47.515024
199.0,3443,60.01864
-35.0,7157,86.443836
102.0,3831,100.810178
213.0,5241,122.330768
209.0,4067,137.054326
257.0,2587,147.289372
167.0,3324,159.260338
232.0,3443,172.775888
260.0,2661,182.297404
206.0,7442,208.725352
164.0,3883,222.338716
153.0,3378,235.437646
246.0,2915,247.436457
-101.0,7442,275.453996
263.0,3174,286.858752
124.0,7034,313.210438
146.0,3290,325.11654
104.0,6786,349.431126
27.0,6395,372.975882
135.0,5324,391.191066
-132.0,7044,414.491139
206.0,3897,428.222923
148.0,4481,444.596703
85.0,5088,462.357748
148.0,4549,478.707633
161.0,3264,490.591072
234.0,2791,501.434554
245.0,3317,514.28249
154.0,3603,527.547175
-241.0,6525,548.939778
9.0,6576,572.636014
-11.0,8469,602.60307
