#{"t_start": 1713057598.6842978, "env_id": "None"}
r,l,t
66.0,6346,26.11042
221.0,2608,37.405818
178.0,3457,49.337828
214.0,4237,65.174779
133.0,3939,79.453721
217.0,2375,88.615148
245.0,2078,96.472137
315.0,1948,103.613295
212.0,2740,114.848308
267.0,2735,125.800269
230.0,2696,135.41408
325.0,1932,142.827734
153.0,5012,161.557772
268.0,2510,171.53896
296.0,2379,179.817738
196.0,3527,193.301821
145.0,4239,207.889095
269.0,2854,217.342642
215.0,3561,230.705516
222.0,2476,241.003474
241.0,2541,250.720891
290.0,2346,259.804467
195.0,2793,270.582644
-16.0,7169,297.085331
85.0,4051,312.19337
243.0,3183,323.598519
65.0,7769,351.67945
74.0,4677,368.369405
54.0,9235,400.420222
-107.0,4447,415.055348
85.0,6912,440.225285
261.0,2009,447.228573
105.0,6209,469.103607
116.0,4580,485.606184
170.0,3073,496.787832
228.0,2311,506.002448
146.0,3671,520.278329
325.0,2137,527.840014
-9.0,5762,546.754936
49.0,7147,572.126486
-45.0,7695,599.942593
