#{"t_start": 1713057597.6003757, "env_id": "None"}
r,l,t
243.0,3801,18.652407
213.0,3985,34.271934
175.0,2851,44.709956
250.0,2758,54.170137
200.0,4009,69.517478
224.0,5841,90.742762
262.0,2133,98.665061
153.0,3379,112.078925
266.0,2764,123.386374
230.0,5417,143.304481
247.0,4995,162.057821
249.0,2600,172.15335
236.0,2855,182.500511
192.0,4994,200.976209
22.0,5985,221.208834
169.0,4076,237.134015
288.0,2193,246.241904
169.0,2763,257.12652
18.0,7111,283.411571
243.0,2888,293.837935
158.0,4105,309.576983
279.0,4904,327.474028
-42.0,8330,357.2615
101.0,4023,371.805936
-6.0,8282,400.179701
-172.0,6362,421.709905
128.0,6292,444.317772
79.0,4454,459.745479
220.0,2512,468.956638
-120.0,5289,487.950387
202.0,2470,496.974301
197.0,2967,508.785007
200.0,3419,522.176145
188.0,2815,531.797232
46.0,6381,552.536076
126.0,4645,568.916975
169.0,4573,586.402319
-18.0,5707,605.762241
