#{"t_start": 1713057597.6144748, "env_id": "None"}
r,l,t
202.0,3276,16.960981
227.0,5315,37.312012
199.0,2920,47.526835
251.0,2831,57.550425
161.0,4374,74.351674
142.0,3372,86.09431
194.0,2792,96.980519
134.0,4167,113.137161
124.0,3624,127.684256
286.0,2581,136.824128
242.0,2517,146.578115
230.0,2454,155.854551
201.0,3089,167.14184
246.0,2834,177.982499
232.0,3601,191.362821
167.0,3845,205.285626
194.0,3128,215.600202
209.0,3097,226.578817
196.0,2993,238.625115
236.0,3074,250.682887
117.0,2818,261.576902
142.0,7468,289.299841
265.0,2873,300.51414
250.0,4494,317.108587
61.0,6604,340.680895
-18.0,5979,362.273928
-145.0,3773,375.958642
-72.0,4694,391.990158
-74.0,8972,422.269894
306.0,3633,435.304727
234.0,3485,447.925961
-18.0,7032,472.891486
192.0,3079,483.691303
227.0,2460,492.768538
170.0,3397,505.808801
221.0,4232,522.513905
180.0,3263,533.437036
-236.0,3805,545.809607
-56.0,5156,563.30125
203.0,3406,576.548249
-69.0,6113,598.441012
250.0,3246,609.093781
