train/value_loss,eval/mean_ep_length,train/learning_rate,train/policy_loss,time/total_timesteps,train/n_updates,train/entropy_loss,train/explained_variance,eval/mean_reward,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
0.14601407945156097,4340.0,0.0007,0.13695548474788666,1200,19,-8.315411567687988,0.003182530403137207,-327.6,,,,,
7.154285412980244e-05,5162.6,0.0007,-0.012594728730618954,2400,39,-8.317181587219238,0.4739837646484375,-326.8,,,,,
0.016361435875296593,5287.8,0.0007,-0.12390404939651489,3600,59,-8.31633472442627,0.020761549472808838,-326.8,,,,,
0.10041892528533936,4929.0,0.0007,0.8454306125640869,4800,79,-8.313393592834473,-0.02204906940460205,-328.0,,,,,
0.04966181516647339,4170.2,0.0007,0.43108707666397095,6000,99,-8.315690040588379,0.001923203468322754,-328.0,,,,,
,,,,6000,,,,,72,100,83,,
0.10066290944814682,6367.0,0.0007,0.648115873336792,7200,119,-8.2937593460083,0.004246771335601807,-210.0,,,,,
0.01822955533862114,3954.0,0.0007,0.01004637498408556,8400,139,-8.218936920166016,-0.023344874382019043,-328.0,,,,,
0.06855090707540512,5253.8,0.0007,0.6240126490592957,9600,159,-8.248418807983398,0.028659462928771973,-241.8,,,,,
0.2804604470729828,6367.0,0.0007,-1.3980402946472168,10800,179,-4.905835151672363,0.3018835186958313,-210.0,,,,,
0.09853841364383698,5889.0,0.0007,-0.531207263469696,12000,199,-7.718066692352295,0.036178767681121826,-254.0,,,,,
,,,,12000,,,,,144,200,82,228.0,3898.0
0.0002623006294015795,6367.0,0.0007,-0.021784795448184013,13200,219,-7.77341890335083,0.04344719648361206,-210.0,,,,,
0.07342902570962906,6367.0,0.0007,-0.6010658144950867,14400,239,-7.403286933898926,-0.14131176471710205,-210.0,,,,,
0.0006421136786229908,8048.0,0.0007,-0.1450350135564804,15600,259,-7.650021553039551,0.6058713495731354,-226.0,,,,,
0.19139991700649261,8048.0,0.0007,1.3193939924240112,16800,279,-7.447349548339844,0.005097031593322754,-226.0,,,,,
0.047242339700460434,8048.0,0.0007,0.0731063261628151,18000,299,-5.622776508331299,0.3332809805870056,-226.0,,,,,
,,,,18000,,,,,235,300,76,116.0,4441.666666666667
0.08880545198917389,4647.0,0.0007,0.46511974930763245,19200,319,-7.262470722198486,0.0039716362953186035,-322.0,,,,,
0.0682453066110611,3113.0,0.0007,-0.6014955043792725,1200,353,-7.579982757568359,0.009190738201141357,-326.0,,,,,
0.1445104032754898,8349.0,0.0007,0.008223279379308224,2400,373,-1.1375434398651123,0.27436476945877075,-245.0,,,,,
0.00016876422159839422,8349.0,0.0007,-0.0754762515425682,3600,393,-7.960731506347656,0.6569652557373047,-245.0,,,,,
0.0695340558886528,8349.0,0.0007,-0.5622890591621399,4800,413,-7.571244239807129,-0.06987082958221436,-245.0,,,,,
0.16435527801513672,5640.4,0.0007,-0.48300498723983765,6000,433,-3.248281478881836,0.6157518029212952,-296.2,,,,,
,,,,6000,,,,,91,100,65,,
0.18696630001068115,8617.8,0.0007,-0.2527465224266052,7200,453,-2.9237403869628906,0.9079240262508392,-237.6,,,,,
0.10789379477500916,4348.4,0.0007,-0.10886681079864502,8400,473,-7.988039970397949,0.5736633241176605,-324.4,,,,,
0.10709124058485031,8349.0,0.0007,0.17177852988243103,9600,493,-5.812682628631592,0.06545490026473999,-245.0,,,,,
0.0011743860086426139,5208.0,0.0007,-0.02553425543010235,10800,513,-4.582488536834717,0.8041461706161499,-302.0,,,,,
0.24682088196277618,8581.0,0.0007,0.05925172567367554,12000,533,-2.014925956726074,0.1289028525352478,-224.0,,,,,
,,,,12000,,,,,192,200,62,,
0.04690029099583626,8674.0,0.0007,0.10550027340650558,13200,553,-2.2976648807525635,0.6383847296237946,-237.0,,,,,
0.10691168159246445,12854.0,0.0007,-0.3273357152938843,14400,573,-3.6440131664276123,-0.09502267837524414,-114.0,,,,,
0.07998787611722946,12853.0,0.0007,-0.35619527101516724,15600,593,-4.394935131072998,0.031920790672302246,-74.0,,,,,
