train/policy_loss,time/total_timesteps,eval/mean_reward,train/learning_rate,train/entropy_loss,train/value_loss,train/explained_variance,eval/mean_ep_length,train/n_updates,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean
-0.7836167812347412,1200,-328.0,0.0007,-8.302027702331543,0.09951509535312653,-0.002811908721923828,6281.0,19,,,,,
-1.0689337253570557,2400,-326.8,0.0007,-8.311302185058594,0.12920483946800232,-0.007550954818725586,4981.2,39,,,,,
0.031464528292417526,3600,-327.6,0.0007,-8.315816879272461,3.7026820791652426e-05,-0.1645984649658203,4582.2,59,,,,,
0.44611531496047974,4800,-327.6,0.0007,-8.289874076843262,0.1137164831161499,0.006024837493896484,4207.8,79,,,,,
-0.004982895217835903,6000,-302.4,0.0007,-8.31320571899414,4.415929288370535e-05,0.5039883852005005,5251.0,99,,,,,
,6000,,,,,,,,80,74,100,,
0.38908401131629944,7200,-328.0,0.0007,-8.299151420593262,0.11439498513936996,0.009117960929870605,3954.0,119,,,,,
-0.09989947080612183,8400,-328.0,0.0007,-8.2932767868042,0.01609940640628338,0.0073882341384887695,4467.0,139,,,,,
0.36009925603866577,9600,-326.0,0.0007,-8.252768516540527,0.14688965678215027,-0.015266656875610352,4681.0,159,,,,,
-0.2446349859237671,10800,-301.2,0.0007,-8.314993858337402,0.13151969015598297,0.008077263832092285,6678.0,179,,,,,
-0.7984156012535095,12000,-318.8,0.0007,-8.314516067504883,0.12798991799354553,-0.007550358772277832,6225.8,199,,,,,
,12000,,,,,,,,79,151,200,,
-0.08442799001932144,13200,-326.0,0.0007,-8.314167976379395,0.1165875792503357,0.04263359308242798,4904.0,219,,,,,
-0.6361455321311951,14400,-326.0,0.0007,-8.2507963180542,0.11866383999586105,-0.00942695140838623,5784.0,239,,,,,
0.4283847212791443,15600,-308.0,0.0007,-8.271228790283203,0.051249295473098755,-0.02025771141052246,5070.0,259,,,,,
-0.11694090813398361,16800,-327.2,0.0007,-8.307085990905762,0.016986990347504616,0.029397130012512207,4721.8,279,,,,,
0.3694353997707367,18000,-226.0,0.0007,-4.131265640258789,1.0916727781295776,0.9748394060879946,8048.0,299,,,,,
,18000,,,,,,,,79,227,300,,
0.11301896721124649,19200,-322.0,0.0007,-8.3067626953125,0.11742907017469406,0.05098891258239746,4452.0,319,,,,,
0.011557182297110558,1200,-325.8,0.0007,-7.453027725219727,0.1773252934217453,0.050807833671569824,4395.6,353,,,,,
0.1427827924489975,2400,-245.0,0.0007,-7.786410808563232,0.17670126259326935,0.054066002368927,8349.0,373,,,,,
0.18756389617919922,3600,-262.4,0.0007,-7.614282131195068,0.03169514611363411,0.03843808174133301,7895.2,393,,,,,
-0.26393699645996094,4800,-271.2,0.0007,-8.076998710632324,0.03790149837732315,0.08832955360412598,5174.4,413,,,,,
0.5114313364028931,6000,-271.0,0.0007,-7.8733320236206055,0.06455221772193909,-0.0003446340560913086,5552.0,433,,,,,
,6000,,,,,,,,64,92,100,-233.2,8515.2
0.011239219456911087,7200,-195.6,0.0007,-8.236658096313477,3.0507424526149407e-05,0.10922181606292725,9748.6,453,,,,,
-0.5596964955329895,8400,-244.4,0.0007,-8.111077308654785,0.09978240728378296,-0.39966368675231934,5695.8,473,,,,,
-0.5214325785636902,9600,-306.2,0.0007,-7.639822006225586,0.07759682834148407,-0.1518855094909668,6222.8,493,,,,,
0.26607030630111694,10800,-276.0,0.0007,-7.630797863006592,0.0976666733622551,-0.016437053680419922,9399.0,513,,,,,
0.7732709646224976,12000,-282.6,0.0007,-7.897451400756836,0.1274229884147644,0.0015850067138671875,6528.0,533,,,,,
,12000,,,,,,,,56,211,200,-249.0,7678.0
0.8205829858779907,13200,-271.0,0.0007,-7.946794033050537,0.13187363743782043,0.006291329860687256,5552.0,553,,,,,
-0.16664627194404602,14400,-271.0,0.0007,-5.708205223083496,0.12938357889652252,0.005602717399597168,5552.0,573,,,,,
0.07754485309123993,15600,-271.0,0.0007,-1.6475766897201538,0.06851209700107574,-0.03569483757019043,5552.0,593,,,,,
-0.1440008133649826,16800,-271.0,0.0007,-1.3961225748062134,0.13353747129440308,0.06998342275619507,5552.0,613,,,,,
-0.25551000237464905,18000,-271.0,0.0007,-4.675378322601318,0.13400870561599731,0.08595412969589233,5552.0,633,,,,,
,18000,,,,,,,,63,283,300,-249.0,7678.0
0.43149295449256897,19200,-271.0,0.0007,-2.0539281368255615,0.14419709146022797,0.04851800203323364,5552.0,653,,,,,
